@relation GestureTraining

@attribute Device0_LinearAccelX_RMS numeric
@attribute Device0_LinearAccelY_RMS numeric
@attribute Device0_LinearAccelZ_RMS numeric
@attribute Device0_GyroscopeX_RMS numeric
@attribute Device0_GyroscopeY_RMS numeric
@attribute Device0_GyroscopeZ_RMS numeric
@attribute Device0_LinearAccelX_StDev numeric
@attribute Device0_LinearAccelY_StDev numeric
@attribute Device0_LinearAccelZ_StDev numeric
@attribute Device0_GyroscopeX_StDev numeric
@attribute Device0_GyroscopeY_StDev numeric
@attribute Device0_GyroscopeZ_StDev numeric
@attribute Device0_LinearAccelX_Mean numeric
@attribute Device0_LinearAccelY_Mean numeric
@attribute Device0_LinearAccelZ_Mean numeric
@attribute Device0_GyroscopeX_Mean numeric
@attribute Device0_GyroscopeY_Mean numeric
@attribute Device0_GyroscopeZ_Mean numeric
@attribute Device0_LinearAccelX_AvgEnergy numeric
@attribute Device0_LinearAccelY_AvgEnergy numeric
@attribute Device0_LinearAccelZ_AvgEnergy numeric
@attribute Device0_GyroscopeX_AvgEnergy numeric
@attribute Device0_GyroscopeY_AvgEnergy numeric
@attribute Device0_GyroscopeZ_AvgEnergy numeric
@attribute Device0_GyroscopeX_ZeroCross numeric
@attribute Device0_GyroscopeY_ZeroCross numeric
@attribute Device0_GyroscopeZ_ZeroCross numeric
@attribute Device0_LinearAccelX_ECDF0 numeric
@attribute Device0_LinearAccelX_ECDF1 numeric
@attribute Device0_LinearAccelX_ECDF2 numeric
@attribute Device0_LinearAccelX_ECDF3 numeric
@attribute Device0_LinearAccelX_ECDF4 numeric
@attribute Device0_LinearAccelX_ECDF5 numeric
@attribute Device0_LinearAccelX_ECDF6 numeric
@attribute Device0_LinearAccelX_ECDF7 numeric
@attribute Device0_LinearAccelX_ECDF8 numeric
@attribute Device0_LinearAccelX_ECDF9 numeric
@attribute Device0_LinearAccelX_ECDF10 numeric
@attribute Device0_LinearAccelX_ECDF11 numeric
@attribute Device0_LinearAccelX_ECDF12 numeric
@attribute Device0_LinearAccelX_ECDF13 numeric
@attribute Device0_LinearAccelX_ECDF14 numeric
@attribute Device0_LinearAccelY_ECDF0 numeric
@attribute Device0_LinearAccelY_ECDF1 numeric
@attribute Device0_LinearAccelY_ECDF2 numeric
@attribute Device0_LinearAccelY_ECDF3 numeric
@attribute Device0_LinearAccelY_ECDF4 numeric
@attribute Device0_LinearAccelY_ECDF5 numeric
@attribute Device0_LinearAccelY_ECDF6 numeric
@attribute Device0_LinearAccelY_ECDF7 numeric
@attribute Device0_LinearAccelY_ECDF8 numeric
@attribute Device0_LinearAccelY_ECDF9 numeric
@attribute Device0_LinearAccelY_ECDF10 numeric
@attribute Device0_LinearAccelY_ECDF11 numeric
@attribute Device0_LinearAccelY_ECDF12 numeric
@attribute Device0_LinearAccelY_ECDF13 numeric
@attribute Device0_LinearAccelY_ECDF14 numeric
@attribute Device0_LinearAccelZ_ECDF0 numeric
@attribute Device0_LinearAccelZ_ECDF1 numeric
@attribute Device0_LinearAccelZ_ECDF2 numeric
@attribute Device0_LinearAccelZ_ECDF3 numeric
@attribute Device0_LinearAccelZ_ECDF4 numeric
@attribute Device0_LinearAccelZ_ECDF5 numeric
@attribute Device0_LinearAccelZ_ECDF6 numeric
@attribute Device0_LinearAccelZ_ECDF7 numeric
@attribute Device0_LinearAccelZ_ECDF8 numeric
@attribute Device0_LinearAccelZ_ECDF9 numeric
@attribute Device0_LinearAccelZ_ECDF10 numeric
@attribute Device0_LinearAccelZ_ECDF11 numeric
@attribute Device0_LinearAccelZ_ECDF12 numeric
@attribute Device0_LinearAccelZ_ECDF13 numeric
@attribute Device0_LinearAccelZ_ECDF14 numeric
@attribute Device0_@@class@@ {10,11,12,13}

@data
0.876371,1.005619,0.664628,0.894375,0.915141,0.404013,0.875246,0.912887,0.618668,0.896663,0.914023,0.360697,-0.090825,0.429811,0.249232,-0.049933,0.094306,0.184907,0.345798,0.455316,0.198886,0.444241,0.465109,0.09065,8,4,14,-2.410364,-1.759071,-1.05983,-0.106149,-0.063567,-0.044717,-0.030468,-0.017975,-0.006034,0.006221,0.019836,0.036949,0.066663,0.545348,1.362051,-2.781246,-1.490567,0.327557,0.367377,0.395568,0.416367,0.434054,0.450685,0.467579,0.486219,0.509531,0.549906,0.93177,1.336086,1.618567,-0.496909,-0.152028,-0.096059,-0.081021,-0.070268,-0.061208,-0.052905,-0.044833,-0.036564,-0.027585,-0.017014,0.030744,0.699398,1.257522,1.605329,10
1.081754,0.982856,0.661124,1.015094,1.159027,0.407104,1.078827,0.88249,0.595589,1.019825,1.152767,0.324747,-0.130774,0.44094,0.29265,-0.00132,0.163636,0.247485,0.454747,0.375398,0.169855,0.405756,0.528981,0.065262,7,4,6,-2.586535,-2.373851,-1.564129,-0.546526,-0.321601,-0.095544,-0.052413,-0.031131,-0.01372,0.003279,0.022705,0.052725,0.411405,1.076607,1.593048,-1.828053,-1.002059,-0.695239,-0.176944,0.374165,0.399007,0.418164,0.435799,0.454127,0.476143,0.513363,0.828027,1.080312,1.283581,1.655781,-0.486049,-0.137989,-0.117791,-0.106787,-0.097761,-0.089104,-0.079659,-0.067164,-0.016224,0.065517,0.205923,0.487146,0.908793,1.132689,1.554751,10
1.187359,0.901791,0.66811,0.929904,1.26293,0.489452,1.170912,0.816574,0.625408,0.93128,1.26091,0.408129,-0.224295,0.389919,0.241914,-0.068753,0.135858,0.272754,0.528138,0.304646,0.167216,0.320353,0.590896,0.088751,11,7,7,-3.110903,-2.760819,-1.717803,-0.67934,-0.157434,-0.096535,-0.07291,-0.054873,-0.038603,-0.022286,-0.004069,0.020142,0.145263,0.926857,1.604547,-1.979124,-1.149081,-0.55604,0.340552,0.367224,0.383388,0.396731,0.409286,0.422344,0.437646,0.46043,0.573806,0.726227,1.153499,1.442736,-0.642724,-0.199168,-0.158107,-0.126372,-0.114278,-0.105327,-0.097283,-0.089136,-0.079769,-0.066096,0.119927,0.345128,0.767367,1.165253,1.585669,10
1.293441,1.021133,0.903867,1.134359,1.44778,0.516848,1.288462,0.940208,0.793689,1.138921,1.444736,0.406192,-0.165587,0.408013,0.438816,-0.031751,0.164669,0.321849,0.473575,0.295162,0.231263,0.352543,0.57427,0.073187,8,7,10,-2.691392,-2.550205,-1.809301,-0.834578,-0.48917,-0.116425,-0.062359,-0.038927,-0.02042,-0.00304,0.015534,0.039201,0.09697,0.877546,2.010334,-1.905495,-1.135229,-0.891251,0.201663,0.362708,0.392934,0.415063,0.434695,0.454195,0.475808,0.504291,0.587241,0.942297,1.21893,1.85769,-0.221061,-0.127059,-0.108784,-0.095295,-0.083428,-0.071878,-0.05958,-0.044844,0.023601,0.129355,0.222274,0.614992,1.279905,1.704022,2.094569,10
1.231131,0.929399,0.696616,0.999143,1.194141,0.379813,1.226976,0.846089,0.634136,1.001898,1.19564,0.305882,-0.14951,0.392032,0.293918,-0.050829,0.08914,0.226823,0.529082,0.301522,0.169395,0.388663,0.555173,0.056164,7,6,6,-3.167042,-2.585165,-1.306579,-0.647614,-0.164447,-0.106544,-0.077755,-0.055327,-0.035143,-0.015233,0.006181,0.032107,0.073187,0.645337,1.980263,-1.978277,-1.200373,-0.726029,0.350779,0.382526,0.398671,0.4114,0.423014,0.4347,0.447705,0.464693,0.505216,0.793664,1.249294,1.601961,-0.458854,-0.096375,-0.072809,-0.061634,-0.05304,-0.045394,-0.037955,-0.030123,-0.02102,-0.008281,0.131833,0.333711,0.559336,0,1.667509,10
0.383666,0.455306,0.056361,0.027648,0.216336,0.112833,0.366279,0.109638,0.049459,0.02328,0.204353,0.106481,-0.123745,0.442139,-0.027782,-0.01522,0.075822,0.039817,0.411541,0.579578,0.008881,0.012677,0.776179,0.211144,7,4,5,-1.220958,-1.137092,0,-0.082227,-0.014427,-0.007076,-0.001116,0.005076,0.013807,0.028636,0.038333,0.046544,0.054515,0.063232,0.074634,0.366346,0.379794,0.386173,0.391221,0.395911,0.400801,0.406659,0.417144,0.425062,0.429292,0.432773,0.436148,0.439917,0.445261,0,-0.213704,-0.160683,-0.046241,-0.039769,-0.031626,-0.027097,-0.024392,-0.021554,-0.015421,-0.01049,-0.007152,-0.003734,0.002488,0.010509,0.016795,10
1.007527,0.88423,0.580605,0.940849,0.982254,0.342077,1.009153,0.754768,0.523702,0.941114,0.979118,0.285913,0.063215,0.465034,0.254553,0.076336,0.114008,0.189353,0.475668,0.366371,0.157962,0.450015,0.490496,0.059489,6,7,9,-1.815653,-1.372742,-0.947943,-0.476288,-0.154054,-0.092275,-0.065436,-0.044695,-0.025875,-0.006915,0.014368,0.042961,0.213592,1.154645,2.254067,-1.436509,-0.766017,-0.511814,0.307718,0.361089,0.38265,0.399245,0.414336,0.429647,0.447099,0.471612,0.609812,0.859223,1.171854,1.747339,-0.293189,-0.102076,-0.072252,-0.058398,-0.047713,-0.038136,-0.028705,-0.018564,-0.006266,0.0134,0.139533,0.345733,0.628589,0.901774,1.292007,10
1.048774,0.742774,0.627382,0.901206,1.23097,0.402004,1.051503,0.634764,0.527052,0.90419,1.227558,0.282746,-0.043514,0.389316,0.343133,-0.015825,0.137037,0.286728,0.537796,0.269754,0.19245,0.326296,0.608777,0.064927,11,5,6,-2.105245,-1.501953,-1.191788,-0.882413,-0.518083,-0.155104,-0.10604,-0.073612,-0.044771,-0.014484,0.033106,0.08553,0.160249,1.15172,1.899264,-1.292851,-1.000311,-0.351456,0.352403,0.383481,0.400801,0.415003,0.428536,0.443083,0.461577,0.503339,0.658287,0.80797,0.941371,1.101243,-0.159746,-0.089975,-0.029455,-0.014906,-0.0043,0.005373,0.015573,0.028529,0.062967,0.169237,0.274285,0.570647,0.814667,1.170264,1.428848,10
1.054757,0.811649,0.565069,0.956928,1.204457,0.42233,1.043071,0.732281,0.499051,0.954241,1.208836,0.304486,-0.181697,0.355989,0.268695,-0.110671,0.029095,0.293896,0.532152,0.315114,0.152734,0.359838,0.570073,0.070089,8,8,10,-2.099949,-1.721517,-1.290543,-0.897466,-0.62841,-0.262244,-0.17176,-0.137707,-0.111655,-0.088025,-0.064091,-0.036845,0.013674,0.243087,1.904382,-1.279475,-1.142371,-0.69522,0.129561,0.317253,0.371918,0.391065,0.405863,0.419567,0.433975,0.451752,0.486131,0.678989,1.090144,1.540551,-0.202192,-0.097374,-0.053281,-0.041234,-0.031452,-0.022223,-0.012453,-0.000444,0.021486,0.140525,0.21786,0.267615,0.582795,0.993442,1.308632,10
1.150682,0.785641,0.740086,0.979253,1.335471,0.495792,1.154643,0.694586,0.608775,0.982653,1.329581,0.332604,-0.025918,0.371928,0.424083,-0.020722,0.169403,0.368779,0.531962,0.247981,0.220057,0.320905,0.596836,0.082259,9,10,7,-2.086036,-1.822325,-1.629709,-1.219464,-0.640731,-0.097793,-0.055573,-0.030411,-0.008404,0.014866,0.04652,0.453802,0.948548,1.447273,1.804015,-1.276786,-1.005238,-0.71589,0.08526,0.282406,0.384844,0.413951,0.436238,0.45775,0.482955,0.529522,0.711698,0.857255,0.977369,1.294181,-0.332739,-0.088849,-0.05298,-0.022194,-0.003331,0.013441,0.032945,0.082896,0.210711,0.271448,0.375566,0.718433,1.083108,1.321437,0,10
