@relation GestureTraining-weka.filters.unsupervised.attribute.Remove-R25-27

@attribute LinearAccelX_RMS numeric
@attribute LinearAccelY_RMS numeric
@attribute LinearAccelZ_RMS numeric
@attribute GyroscopeX_RMS numeric
@attribute GyroscopeY_RMS numeric
@attribute GyroscopeZ_RMS numeric
@attribute LinearAccelX_StDev numeric
@attribute LinearAccelY_StDev numeric
@attribute LinearAccelZ_StDev numeric
@attribute GyroscopeX_StDev numeric
@attribute GyroscopeY_StDev numeric
@attribute GyroscopeZ_StDev numeric
@attribute LinearAccelX_Mean numeric
@attribute LinearAccelY_Mean numeric
@attribute LinearAccelZ_Mean numeric
@attribute GyroscopeX_Mean numeric
@attribute GyroscopeY_Mean numeric
@attribute GyroscopeZ_Mean numeric
@attribute LinearAccelX_AvgEnergy numeric
@attribute LinearAccelY_AvgEnergy numeric
@attribute LinearAccelZ_AvgEnergy numeric
@attribute GyroscopeX_AvgEnergy numeric
@attribute GyroscopeY_AvgEnergy numeric
@attribute GyroscopeZ_AvgEnergy numeric
@attribute GyroscopeX_ZeroCross numeric
@attribute GyroscopeY_ZeroCross numeric
@attribute GyroscopeZ_ZeroCross numeric
@attribute LinearAccelX_ECDF0 numeric
@attribute LinearAccelX_ECDF1 numeric
@attribute LinearAccelX_ECDF2 numeric
@attribute LinearAccelX_ECDF3 numeric
@attribute LinearAccelX_ECDF4 numeric
@attribute LinearAccelX_ECDF5 numeric
@attribute LinearAccelX_ECDF6 numeric
@attribute LinearAccelX_ECDF7 numeric
@attribute LinearAccelX_ECDF8 numeric
@attribute LinearAccelX_ECDF9 numeric
@attribute LinearAccelX_ECDF10 numeric
@attribute LinearAccelX_ECDF11 numeric
@attribute LinearAccelX_ECDF12 numeric
@attribute LinearAccelX_ECDF13 numeric
@attribute LinearAccelX_ECDF14 numeric
@attribute LinearAccelY_ECDF0 numeric
@attribute LinearAccelY_ECDF1 numeric
@attribute LinearAccelY_ECDF2 numeric
@attribute LinearAccelY_ECDF3 numeric
@attribute LinearAccelY_ECDF4 numeric
@attribute LinearAccelY_ECDF5 numeric
@attribute LinearAccelY_ECDF6 numeric
@attribute LinearAccelY_ECDF7 numeric
@attribute LinearAccelY_ECDF8 numeric
@attribute LinearAccelY_ECDF9 numeric
@attribute LinearAccelY_ECDF10 numeric
@attribute LinearAccelY_ECDF11 numeric
@attribute LinearAccelY_ECDF12 numeric
@attribute LinearAccelY_ECDF13 numeric
@attribute LinearAccelY_ECDF14 numeric
@attribute LinearAccelZ_ECDF0 numeric
@attribute LinearAccelZ_ECDF1 numeric
@attribute LinearAccelZ_ECDF2 numeric
@attribute LinearAccelZ_ECDF3 numeric
@attribute LinearAccelZ_ECDF4 numeric
@attribute LinearAccelZ_ECDF5 numeric
@attribute LinearAccelZ_ECDF6 numeric
@attribute LinearAccelZ_ECDF7 numeric
@attribute LinearAccelZ_ECDF8 numeric
@attribute LinearAccelZ_ECDF9 numeric
@attribute LinearAccelZ_ECDF10 numeric
@attribute LinearAccelZ_ECDF11 numeric
@attribute LinearAccelZ_ECDF12 numeric
@attribute LinearAccelZ_ECDF13 numeric
@attribute LinearAccelZ_ECDF14 numeric
@attribute Class {10,11,12,cluster0,cluster1,cluster2,cluster3,cluster4}

@data
0.876371,1.005619,0.664628,0.894375,0.915141,0.404013,0.871652,0.909138,0.616127,0.892981,0.910269,0.359216,-0.090825,0.429811,0.249232,-0.049933,0.094306,0.184907,0.345798,0.455316,0.198886,0.444241,0.465109,0.09065,8,4,14,-2.415495,-1.757079,-0.983878,-0.137925,-0.02873,-0.020294,-0.011697,-0.006084,0.001266,0.009234,0.016543,0.030008,0.525611,1.370616,2.325087,-2.781658,-1.475092,0.365215,0.385657,0.402932,0.412998,0.418734,0.432394,0.444699,0.458662,0.483798,0.891084,1.278673,1.582924,2.487901,-0.499177,-0.171882,-0.089897,-0.06054,-0.050326,-0.039922,-0.035269,-0.028758,-0.023789,-0.016459,-0.006084,0.476031,1.122873,1.597002,1.959507,10
2.263563,1.593058,1.704497,1.256265,1.964624,0.685343,2.254092,1.495955,1.453741,1.255705,1.963355,0.545125,-0.206839,0.547678,0.889915,0.037521,0.07059,0.415373,0.484885,0.240169,0.274945,0.267146,0.653348,0.079506,13,7,19,-4.614441,-3.562938,-2.984077,-1.700109,-1.025471,-0.781238,-0.493477,-0.188716,0.07487,0.288658,0.417648,0.639982,1.028658,4.333761,5.923399,-2.622072,-1.45437,-1.00515,-0.742587,-0.255466,-0.013135,0.149481,0.42246,0.721789,0.963511,1.36449,1.726362,2.312344,3.063892,3.753781,-0.705506,-0.616197,-0.287277,-0.172278,0.034348,0.187555,0.247376,0.331822,0.419357,0.594904,1.11005,2.016729,2.779281,3.688445,5.098073,10
2.031857,1.656623,1.337107,1.328955,1.771727,0.724166,2.010841,1.621334,1.179638,1.328936,1.738188,0.556308,-0.291481,0.340111,0.62953,0.007024,-0.343101,0.463614,0.476687,0.31688,0.206433,0.325279,0.578135,0.096585,10,4,11,-3.648002,-2.921213,-2.321859,-1.575768,-1.4436,-1.109682,-0.877242,-0.631998,-0.379351,0.081218,0.242052,0.5317,1.640139,3.063752,5.862116,-2.30369,-1.623331,-1.210967,-0.91301,-0.579421,-0.420491,-0.154558,0.046198,0.230541,0.348269,0.863366,1.437621,2.266105,3.417831,5.220287,-1.388395,-0.73042,-0.48156,-0.246519,-0.109014,0.079442,0.184893,0.282843,0.576283,0.711278,0.839866,1.407774,2.299934,2.857415,3.807386,10
1.081754,0.982856,0.661124,1.015094,1.159027,0.407104,1.073821,0.878395,0.592825,1.015093,1.147418,0.32324,-0.130774,0.44094,0.29265,-0.00132,0.163636,0.247485,0.454747,0.375398,0.169855,0.405756,0.528981,0.065262,7,4,6,-2.584495,-2.324201,-1.307273,-0.524566,-0.253001,-0.049292,-0.030467,-0.017424,-0.005648,0.002831,0.022042,0.361216,1.061776,1.526215,2.041584,-1.818398,-1.017606,-0.649909,0.360925,0.388947,0.408036,0.419007,0.427981,0.440413,0.474402,0.774873,0.992315,1.253896,1.730539,3.571915,-0.482988,-0.13431,-0.113557,-0.100964,-0.092025,-0.08358,-0.074263,-0.068254,0.048332,0.143357,0.377893,0.884206,1.13783,1.430919,1.772128,10
1.521198,1.77726,1.349796,1.178339,1.577013,0.534854,1.519321,1.752326,1.164932,1.153543,1.562989,0.451092,0.075552,0.296659,0.681823,0.240461,-0.209847,0.287377,0.317225,0.43301,0.249765,0.333648,0.597611,0.068741,17,6,9,-2.43831,-2.128555,-1.555665,-1.143915,-0.776399,-0.459447,-0.220369,-0.041146,0.148827,0.325705,0.494873,0.965305,1.66512,2.664587,4.176939,-4.374892,-2.286654,-1.3836,-0.986926,-0.669143,-0.3999,-0.020165,0.083312,0.382865,0.903262,1.233478,1.817227,2.365309,2.988563,4.18857,-0.986596,-0.715381,-0.494614,-0.365568,-0.041008,0.189021,0.34452,0.407817,0.577821,0.74949,1.044853,1.350352,2.215524,2.81033,3.722791,10
1.636097,1.346779,1.173177,1.108674,1.734518,0.713743,1.629573,1.313884,1.077428,1.104695,1.723981,0.602028,-0.145956,0.295839,0.464213,0.093835,-0.190899,0.383395,0.456251,0.309157,0.234592,0.258926,0.633761,0.107313,15,7,8,-4.109723,-3.04985,-1.92876,-1.13299,-0.853617,-0.447165,-0.140704,-0.02443,0.135378,0.205981,0.473732,0.67539,1.459663,2.724046,3.423723,-2.665211,-1.222115,-0.964854,-0.752029,-0.605976,-0.41091,-0.165721,0.068818,0.317759,0.548545,0.964082,1.414215,1.708764,2.290414,4.104664,-1.007043,-0.798455,-0.67966,-0.532213,-0.319389,-0.06353,0.164769,0.276722,0.427211,0.63648,0.986627,1.199628,1.77065,2.212228,3.604369,10
1.780719,1.630744,1.357996,1.148971,1.754354,0.721253,1.774808,1.541628,1.169426,1.148191,1.748632,0.576325,-0.144972,0.531703,0.690358,0.042325,-0.141582,0.433653,0.413185,0.346517,0.240298,0.268424,0.625803,0.105774,16,7,11,-2.733548,-2.4163,-2.054952,-1.462472,-1.127241,-0.730409,-0.446611,-0.237486,-0.003544,0.184432,0.279825,0.491823,0.811621,2.987135,5.577522,-3.340209,-1.993931,-1.212575,-0.49865,-0.203748,0.053845,0.432795,0.678095,0.907599,1.014913,1.284866,1.661786,2.100309,2.963622,4.128614,-1.016897,-0.710523,-0.544949,-0.311151,-0.026383,0.220178,0.306968,0.396063,0.523099,0.690869,0.999042,1.875633,2.375991,2.889241,3.378663,10
1.764984,1.725819,1.540366,1.318959,1.930644,0.876683,1.74459,1.660566,1.208461,1.316551,1.903167,0.731821,-0.267535,0.470077,0.955169,0.079659,0.324561,0.482712,0.367947,0.351799,0.280254,0.278987,0.597758,0.123255,18,4,13,-3.206454,-2.653338,-2.304775,-1.776489,-1.221355,-0.933529,-0.51814,-0.357017,-0.061775,0.196683,0.349136,0.542385,1.313446,2.945149,4.533338,-3.140856,-2.162473,-1.217955,-0.887532,-0.469546,0.009284,0.292089,0.548589,0.663864,0.83095,1.204218,1.815989,2.372769,3.024717,4.792695,-1.063435,-0.724684,-0.304254,-0.014956,0.30827,0.528478,0.63532,0.760022,0.911551,1.185144,1.552481,1.732844,2.229848,2.72655,4.767768,10
1.677819,1.565522,1.375845,1.058258,1.890957,0.736363,1.66772,1.550538,1.257789,1.049835,1.863487,0.649822,-0.183811,0.216085,0.557598,0.133253,-0.321146,0.346355,0.393228,0.342352,0.26442,0.213811,0.682668,0.103521,14,11,10,-3.842032,-2.764149,-1.747201,-1.300845,-0.736787,-0.531236,-0.347717,-0.132446,-0.014763,0.190985,0.415464,0.578478,1.129541,2.271501,4.471523,-2.285262,-1.740403,-1.460493,-1.254285,-1.077292,-0.674943,-0.418396,0.089792,0.390103,0.830889,0.956221,1.394575,1.988927,2.877524,3.920044,-1.115157,-0.844543,-0.727581,-0.6164,-0.364509,-0.004814,0.152419,0.358964,0.466804,0.598484,0.796391,1.532767,2.214857,2.969264,3.776914,10
2.009863,1.5182,1.449107,1.261857,1.699791,0.784189,2.003035,1.486362,1.238375,1.261763,1.698939,0.6248,-0.165527,0.309288,0.752554,0.015409,-0.053795,0.473897,0.478371,0.272954,0.248675,0.312425,0.566913,0.120661,15,4,14,-4.40672,-3.504766,-2.216693,-1.273021,-0.663873,-0.410473,-0.232474,-0.141986,0.01228,0.102625,0.223408,0.433369,1.310756,3.270003,5.455171,-2.748303,-1.835409,-1.24498,-0.770718,-0.535802,-0.273445,0.113234,0.280462,0.62788,0.746113,0.977395,1.284413,1.725186,2.59264,4.433031,-0.687733,-0.583631,-0.384641,-0.279529,-0.060332,0.113793,0.284803,0.455489,0.58208,0.634647,1.032066,1.55871,2.557685,3.266027,4.085329,10
