@relation GestureTraining-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L1

@attribute Device0_LinearAccelX_RMS numeric
@attribute Device0_LinearAccelY_RMS numeric
@attribute Device0_LinearAccelZ_RMS numeric
@attribute Device0_GyroscopeX_RMS numeric
@attribute Device0_GyroscopeY_RMS numeric
@attribute Device0_GyroscopeZ_RMS numeric
@attribute Device0_LinearAccelX_StDev numeric
@attribute Device0_LinearAccelY_StDev numeric
@attribute Device0_LinearAccelZ_StDev numeric
@attribute Device0_GyroscopeX_StDev numeric
@attribute Device0_GyroscopeY_StDev numeric
@attribute Device0_GyroscopeZ_StDev numeric
@attribute Device0_LinearAccelX_Mean numeric
@attribute Device0_LinearAccelY_Mean numeric
@attribute Device0_LinearAccelZ_Mean numeric
@attribute Device0_GyroscopeX_Mean numeric
@attribute Device0_GyroscopeY_Mean numeric
@attribute Device0_GyroscopeZ_Mean numeric
@attribute Device0_LinearAccelX_AvgEnergy numeric
@attribute Device0_LinearAccelY_AvgEnergy numeric
@attribute Device0_LinearAccelZ_AvgEnergy numeric
@attribute Device0_GyroscopeX_AvgEnergy numeric
@attribute Device0_GyroscopeY_AvgEnergy numeric
@attribute Device0_GyroscopeZ_AvgEnergy numeric
@attribute Device0_GyroscopeX_ZeroCross numeric
@attribute Device0_GyroscopeY_ZeroCross numeric
@attribute Device0_GyroscopeZ_ZeroCross numeric
@attribute Device0_LinearAccelX_ECDF0 numeric
@attribute Device0_LinearAccelX_ECDF1 numeric
@attribute Device0_LinearAccelX_ECDF2 numeric
@attribute Device0_LinearAccelX_ECDF3 numeric
@attribute Device0_LinearAccelX_ECDF4 numeric
@attribute Device0_LinearAccelX_ECDF5 numeric
@attribute Device0_LinearAccelX_ECDF6 numeric
@attribute Device0_LinearAccelX_ECDF7 numeric
@attribute Device0_LinearAccelX_ECDF8 numeric
@attribute Device0_LinearAccelX_ECDF9 numeric
@attribute Device0_LinearAccelX_ECDF10 numeric
@attribute Device0_LinearAccelX_ECDF11 numeric
@attribute Device0_LinearAccelX_ECDF12 numeric
@attribute Device0_LinearAccelX_ECDF13 numeric
@attribute Device0_LinearAccelX_ECDF14 numeric
@attribute Device0_LinearAccelY_ECDF0 numeric
@attribute Device0_LinearAccelY_ECDF1 numeric
@attribute Device0_LinearAccelY_ECDF2 numeric
@attribute Device0_LinearAccelY_ECDF3 numeric
@attribute Device0_LinearAccelY_ECDF4 numeric
@attribute Device0_LinearAccelY_ECDF5 numeric
@attribute Device0_LinearAccelY_ECDF6 numeric
@attribute Device0_LinearAccelY_ECDF7 numeric
@attribute Device0_LinearAccelY_ECDF8 numeric
@attribute Device0_LinearAccelY_ECDF9 numeric
@attribute Device0_LinearAccelY_ECDF10 numeric
@attribute Device0_LinearAccelY_ECDF11 numeric
@attribute Device0_LinearAccelY_ECDF12 numeric
@attribute Device0_LinearAccelY_ECDF13 numeric
@attribute Device0_LinearAccelY_ECDF14 numeric
@attribute Device0_LinearAccelZ_ECDF0 numeric
@attribute Device0_LinearAccelZ_ECDF1 numeric
@attribute Device0_LinearAccelZ_ECDF2 numeric
@attribute Device0_LinearAccelZ_ECDF3 numeric
@attribute Device0_LinearAccelZ_ECDF4 numeric
@attribute Device0_LinearAccelZ_ECDF5 numeric
@attribute Device0_LinearAccelZ_ECDF6 numeric
@attribute Device0_LinearAccelZ_ECDF7 numeric
@attribute Device0_LinearAccelZ_ECDF8 numeric
@attribute Device0_LinearAccelZ_ECDF9 numeric
@attribute Device0_LinearAccelZ_ECDF10 numeric
@attribute Device0_LinearAccelZ_ECDF11 numeric
@attribute Device0_LinearAccelZ_ECDF12 numeric
@attribute Device0_LinearAccelZ_ECDF13 numeric
@attribute Device0_LinearAccelZ_ECDF14 numeric
@attribute Device0_@@class@@ {11,12,13}

@data
0.141789,0.929833,0.560072,0.617398,0.052551,0.122724,0.142487,0.775326,0.554654,0.594848,0.046235,0.118205,-0.000754,0.518992,0.095164,-0.175516,0.025395,0.03501,0.016776,0.721469,0.261755,0.955332,0.006921,0.037747,9,9,13,-0.47359,-0.080854,-0.053178,-0.043781,-0.037864,-0.033027,-0.0286,-0.024222,-0.01956,-0.01409,-0.006354,0.010319,0.027045,0.110981,0.308618,-3.039748,0,0.392208,0.413772,0.429006,0.441787,0.453477,0.464832,0.476466,0.48911,0.504037,0.52469,0.586619,1.270033,1.568813,-1.452272,-0.222904,-0.058128,-0.045911,-0.037688,-0.030941,-0.024869,-0.019063,-0.013225,-0.007044,-0.00006,0.008712,0.022954,0.394373,1.363856,11
0.156726,0.955986,0.363623,0.676867,0.071846,0.157,0.157352,0.795577,0.365327,0.681019,0.068851,0.157899,-0.010799,0.537568,0.021161,-0.015258,0.02194,0.005712,0.022941,0.853567,0.123492,0.938907,0.010578,0.050514,7,8,10,-0.546994,-0.116344,-0.097625,-0.089346,-0.07949,-0.063553,-0.054838,-0.04745,-0.039603,-0.028227,0.006818,0.034649,0.09233,0.183905,0.2714,-3.009161,-0.417301,0.226057,0.331565,0.416372,0.434487,0.448086,0.460058,0.471626,0.483738,0.49772,0.517029,0.790559,1.59408,1.89267,-1.166941,-0.145466,-0.117095,-0.107746,-0.100849,-0.094849,-0.089124,-0.083235,-0.076639,-0.068165,-0.041443,0.021496,0.246705,0.473944,0.700313,11
0.045645,0.454899,0.03195,0.02447,0.012355,0.010324,0.033518,0.043679,0.020858,0.014779,0.012384,0.009135,-0.031375,0.452842,-0.024397,0.019625,0.001624,-0.004996,0.009919,0.98522,0.00486,0.697865,0.177911,0.124224,2,2,6,-0.125359,-0.107059,-0.064197,-0.056976,-0.046015,-0.04232,-0.038545,-0.031155,-0.023359,-0.020516,-0.018274,-0.014272,-0.002733,0.008937,0.01467,0.38686,0.39388,0.404633,0.412518,0.422276,0.427938,0.436234,0.444621,0.448888,0.453664,0.465048,0.476002,0,0.514721,0.522745,-0.089757,-0.062724,-0.051504,-0.048145,-0.042892,-0.038778,-0.030573,-0.026959,-0.023861,-0.020119,-0.015741,-0.012428,-0.005085,-0.00182,0.013116,11
0.076983,0.539196,0.176085,0.31363,0.036792,0.056464,0.075118,0.437754,0.150369,0.299033,0.030712,0.056038,0.019029,0.319007,-0.093322,-0.100919,0.02058,0.009573,0.018087,0.887286,0.094627,0.955863,0.013154,0.030982,6,4,9,-0.357452,-0.035315,-0.009144,-0.0011,0.009987,0.016897,0.021615,0.025822,0.030196,0.035668,0.045474,0.051388,0.055883,0.060922,0.082949,-1.935102,0,0.351541,0.389161,0.403004,0.413294,0.421987,0.429853,0.437312,0.444657,0.452152,0.460099,0.468948,0.47955,0.494206,-0.874558,-0.13176,-0.118796,-0.111695,-0.106163,-0.101279,-0.096629,-0.091921,-0.086838,-0.080837,-0.072418,-0.061786,-0.053624,-0.045174,-0.031884,11
0.149377,0.81767,0.356042,0.650393,0.095707,0.133305,0.149409,0.710803,0.357735,0.65131,0.0958,0.133925,-0.015191,0.410824,-0.012944,0.05803,0.008992,-0.005209,0.027289,0.817676,0.155034,0.940147,0.020358,0.039495,8,11,12,-0.381014,-0.233034,-0.180724,-0.134238,-0.06547,-0.050249,-0.042024,-0.033803,-0.017971,-0.003369,0.005699,0.016873,0.047799,0.106097,0.267044,-2.476267,-0.451225,-0.241179,0.087789,0.301121,0.339362,0.36733,0.391996,0.416229,0.442537,0.484868,0.561369,0.644548,0.930141,1.657739,-0.952236,-0.34302,-0.219278,-0.152406,-0.135273,-0.123901,-0.114367,-0.105439,-0.096354,-0.086238,-0.073253,-0.044374,0.088919,0.31242,0.842502,11
0.110698,0.851947,0.30305,0.590776,0.061889,0.123772,0.11115,0.647613,0.300697,0.593652,0.061322,0.124368,0.007099,0.558145,0.050233,-0.02985,0.010757,0.006375,0.014766,0.874572,0.110663,0.947986,0.010403,0.04161,8,11,13,-0.333703,-0.084619,-0.063246,-0.046506,-0.036374,-0.030068,-0.024612,-0.019062,-0.01233,0.00051,0.011542,0.019824,0.030777,0.116508,0,-2.029727,-0.31354,0.378917,0.401835,0.415839,0.427105,0.437251,0.447085,0.457249,0.468558,0.482673,0.506085,1.154379,1.317396,1.613298,-0.815475,0,-0.09449,-0.074371,-0.048534,-0.037017,-0.029832,-0.023785,-0.017956,-0.011652,-0.003617,0.014244,0,0.43259,0.647604,11
0.123988,0.971466,0.41146,0.806599,0.056053,0.169654,0.122249,0.859244,0.403969,0.809651,0.056316,0.170606,0.024799,0.46333,0.090271,0.057111,-0.003169,-0.006318,0.013624,0.836344,0.150033,0.953226,0.004603,0.042171,4,11,10,-0.207972,-0.149187,-0.096922,-0.031978,-0.022106,-0.011934,0.003903,0.010156,0.015108,0.020061,0.026325,0.042662,0.061427,0.107715,0.283394,-2.924109,-0.821241,-0.420502,0.180316,0.313657,0.395965,0.423282,0.443961,0.462848,0.482373,0.505694,0.544516,1.090896,1.478551,1.732515,-0.926292,-0.21393,-0.118751,-0.055336,-0.042515,-0.033789,-0.026397,-0.019421,-0.012259,-0.004178,0.006498,0.032518,0.277183,0.537552,0.954506,11
0.133297,0.872065,0.390105,0.675681,0.085678,0.146733,0.133823,0.732697,0.384698,0.679412,0.085864,0.147498,-0.009448,0.480141,0.078015,0.029361,0.007915,-0.007331,0.019096,0.817346,0.163558,0.940523,0.015123,0.044355,5,3,8,-0.427701,0,-0.137221,-0.080631,-0.047124,-0.037254,-0.031178,-0.025517,-0.018584,0.00089,0.016761,0.035461,0.076638,0.11871,0.226121,-2.678193,-0.721199,0.074375,0.296459,0.378087,0.425521,0.441306,0.453133,0.463861,0.474858,0.48779,0.508108,0.945874,1.420299,1.512935,-0.949735,-0.502938,-0.075408,-0.052947,-0.03013,-0.020497,-0.012855,-0.005771,0.001568,0.010224,0.023658,0.154309,0.297422,0.521906,0.901939,11
0.095494,0.802533,0.288078,0.490307,0.065707,0.099538,0.088603,0.697284,0.282788,0.45054,0.059095,0.090714,-0.037098,0.405604,-0.064151,-0.200488,0.029546,0.042326,0.012387,0.874881,0.112731,0.944133,0.016956,0.038911,9,11,9,-0.426319,-0.121861,-0.084914,-0.07632,-0.067672,-0.05507,-0.048774,-0.043979,-0.039521,-0.034741,-0.028499,-0.010906,0.005368,0.034744,0.057587,-2.914114,0,0.330116,0.355484,0.37573,0.395965,0.417414,0.432196,0.444209,0.455194,0.466083,0.477751,0.491626,0.512086,1.51653,-1.128636,0,-0.094407,-0.085456,-0.080055,-0.075788,-0.072033,-0.068508,-0.065026,-0.061418,-0.057466,-0.052778,-0.046288,-0.022534,0,11
0.049514,0.759208,0.245424,0.460358,0.011632,0.109121,0.049489,0.634828,0.245409,0.433797,0.010915,0.101677,-0.005395,0.421628,-0.025731,-0.16061,0.004179,0.041005,0.003836,0.901914,0.094249,0.946232,0.000604,0.053164,8,10,12,-0.106162,-0.06165,-0.037864,-0.032894,-0.028917,-0.024352,-0.016697,-0.011854,-0.008141,-0.004517,-0.000139,0.010779,0.020843,0.028517,0.049876,-3.121527,0.142373,0.352426,0.377336,0.393266,0.406003,0.417216,0.427689,0.437919,0.448328,0.459393,0.471833,0.487107,0.509784,1.10984,-0.982973,-0.18629,-0.065282,-0.052465,-0.043786,-0.036718,-0.030444,-0.024564,-0.018815,-0.012976,-0.006796,0.000089,0.00838,0.020045,0.322507,11
