@relation GestureTraining-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N45-F1-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-Ffirst-S4-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-Ffirst-S2-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-Ffirst-S2-weka.filters.unsupervised.attribute.MergeTwoValues-Clast-Ffirst-S2

@attribute Device0_LinearAccelX_RMS numeric
@attribute Device0_LinearAccelY_RMS numeric
@attribute Device0_LinearAccelZ_RMS numeric
@attribute Device0_GyroscopeX_RMS numeric
@attribute Device0_GyroscopeY_RMS numeric
@attribute Device0_GyroscopeZ_RMS numeric
@attribute Device0_LinearAccelX_StDev numeric
@attribute Device0_LinearAccelY_StDev numeric
@attribute Device0_LinearAccelZ_StDev numeric
@attribute Device0_GyroscopeX_StDev numeric
@attribute Device0_GyroscopeY_StDev numeric
@attribute Device0_GyroscopeZ_StDev numeric
@attribute Device0_LinearAccelX_Mean numeric
@attribute Device0_LinearAccelY_Mean numeric
@attribute Device0_LinearAccelZ_Mean numeric
@attribute Device0_GyroscopeX_Mean numeric
@attribute Device0_GyroscopeY_Mean numeric
@attribute Device0_GyroscopeZ_Mean numeric
@attribute Device0_LinearAccelX_AvgEnergy numeric
@attribute Device0_LinearAccelY_AvgEnergy numeric
@attribute Device0_LinearAccelZ_AvgEnergy numeric
@attribute Device0_GyroscopeX_AvgEnergy numeric
@attribute Device0_GyroscopeY_AvgEnergy numeric
@attribute Device0_GyroscopeZ_AvgEnergy numeric
@attribute Device0_GyroscopeX_ZeroCross numeric
@attribute Device0_GyroscopeY_ZeroCross numeric
@attribute Device0_GyroscopeZ_ZeroCross numeric
@attribute Device0_LinearAccelX_ECDF0 numeric
@attribute Device0_LinearAccelX_ECDF1 numeric
@attribute Device0_LinearAccelX_ECDF2 numeric
@attribute Device0_LinearAccelX_ECDF3 numeric
@attribute Device0_LinearAccelX_ECDF4 numeric
@attribute Device0_LinearAccelX_ECDF5 numeric
@attribute Device0_LinearAccelX_ECDF6 numeric
@attribute Device0_LinearAccelX_ECDF7 numeric
@attribute Device0_LinearAccelX_ECDF8 numeric
@attribute Device0_LinearAccelX_ECDF9 numeric
@attribute Device0_LinearAccelX_ECDF10 numeric
@attribute Device0_LinearAccelX_ECDF11 numeric
@attribute Device0_LinearAccelX_ECDF12 numeric
@attribute Device0_LinearAccelX_ECDF13 numeric
@attribute Device0_LinearAccelX_ECDF14 numeric
@attribute Device0_LinearAccelY_ECDF0 numeric
@attribute Device0_LinearAccelY_ECDF1 numeric
@attribute Device0_LinearAccelY_ECDF2 numeric
@attribute Device0_LinearAccelY_ECDF3 numeric
@attribute Device0_LinearAccelY_ECDF4 numeric
@attribute Device0_LinearAccelY_ECDF5 numeric
@attribute Device0_LinearAccelY_ECDF6 numeric
@attribute Device0_LinearAccelY_ECDF7 numeric
@attribute Device0_LinearAccelY_ECDF8 numeric
@attribute Device0_LinearAccelY_ECDF9 numeric
@attribute Device0_LinearAccelY_ECDF10 numeric
@attribute Device0_LinearAccelY_ECDF11 numeric
@attribute Device0_LinearAccelY_ECDF12 numeric
@attribute Device0_LinearAccelY_ECDF13 numeric
@attribute Device0_LinearAccelY_ECDF14 numeric
@attribute Device0_LinearAccelZ_ECDF0 numeric
@attribute Device0_LinearAccelZ_ECDF1 numeric
@attribute Device0_LinearAccelZ_ECDF2 numeric
@attribute Device0_LinearAccelZ_ECDF3 numeric
@attribute Device0_LinearAccelZ_ECDF4 numeric
@attribute Device0_LinearAccelZ_ECDF5 numeric
@attribute Device0_LinearAccelZ_ECDF6 numeric
@attribute Device0_LinearAccelZ_ECDF7 numeric
@attribute Device0_LinearAccelZ_ECDF8 numeric
@attribute Device0_LinearAccelZ_ECDF9 numeric
@attribute Device0_LinearAccelZ_ECDF10 numeric
@attribute Device0_LinearAccelZ_ECDF11 numeric
@attribute Device0_LinearAccelZ_ECDF12 numeric
@attribute Device0_LinearAccelZ_ECDF13 numeric
@attribute Device0_LinearAccelZ_ECDF14 numeric
@attribute Device0_@@class@@ {1_4_2_3_5,10,11,12}

@data
0.212613,0.37207,0.308719,0.176576,0.144032,0.240703,0.064793,0.306243,0.182183,0.180497,0.142505,0.236605,0.36157,0.410249,0.65722,0.504678,0.518413,0.426546,0.164784,0.502796,0.369377,0.288257,0.193312,0.52945,0.05618,0.126126,0.205357,0.930768,0.72264,0.632416,0.58816,0.538507,0.470046,0.448284,0.440456,0.412575,0.398953,0.234538,0.210651,0.168012,0.10916,0.028991,0.902445,0.60622,0.535215,0.517427,0.45676,0.420665,0.381896,0.343421,0.329753,0.317073,0.262644,0.26772,0.201118,0.150797,0.219917,0.970428,0.879264,0.808691,0.780634,0.720243,0.698761,0.676379,0.638012,0.597043,0.545897,0.540222,0.466358,0.439655,0.351493,2.270734,1_4_2_3_5
0.350147,0.37689,0.251386,0.578638,0.405093,0.24838,0.35169,0.379818,0.256193,0.581297,0.397534,0.249351,0.484902,0.575292,0.508887,0.478902,0.440449,0.452943,0.380364,0.44096,0.209958,0.597804,0.299041,0.110018,0.11236,0.081081,0.223214,0.877533,0.644746,0.604332,0.601507,0.573401,0.546554,0.539573,0.546183,0.523875,0.516525,0.377335,0.369224,0.383985,0.36554,0.126851,0.83808,0.570768,0.613953,0.631766,0.616322,0.602329,0.578219,0.548077,0.532398,0.529596,0.478178,0.509976,0.401591,0.304122,0.19938,0.905589,0.749542,0.665938,0.653652,0.583638,0.56478,0.529602,0.530937,0.530443,0.474233,0.443302,0.369297,0.337097,0.285093,2.228148,1_4_2_3_5
0.280398,0.294712,0.300264,0.29365,0.270372,0.280934,0.281204,0.298342,0.304962,0.295168,0.270943,0.282441,0.4769,0.566944,0.50481,0.546405,0.512406,0.463228,0.311433,0.344631,0.381036,0.36385,0.31263,0.333606,0.179775,0.054054,0.080357,0.913562,0.692206,0.629321,0.616009,0.580128,0.527016,0.508113,0.505973,0.492415,0.505617,0.373163,0.358498,0.345811,0.333332,0.107189,0.919126,0.653103,0.61019,0.603213,0.556942,0.529454,0.509453,0.491708,0.481917,0.491052,0.450341,0.479541,0.419612,0.325288,0.167952,0.923891,0.749923,0.620167,0.581445,0.511894,0.547768,0.552454,0.54277,0.497224,0.444644,0.412654,0.334873,0.383028,0.334245,2.943264,1_4_2_3_5
0.46083,0.571193,0.389099,0.282125,0.168478,0.397192,0.459645,0.574168,0.372721,0.284898,0.162234,0.397695,0.523129,0.565474,0.425671,0.491311,0.532619,0.444182,0.313966,0.481725,0.23659,0.301795,0.109678,0.599287,0.337079,0.045045,0.160714,0.892344,0.591334,0.535872,0.555408,0.555797,0.542594,0.55355,0.580601,0.579684,0.585689,0.464237,0.524304,0.528194,0.417564,0.147144,0.872447,0.496097,0.44043,0.424089,0.380483,0.395946,0.452721,0.5229,0.524816,0.588702,0.598551,0.779164,0.643536,0.444857,0.181678,0.875534,0.692512,0.558508,0.54609,0.460191,0.47551,0.435093,0.417432,0.380874,0.34158,0.345541,0.310613,0.378761,0.349488,3.002415,1_4_2_3_5
0.287447,0.278449,0.297447,0.349316,0.316046,0.367389,0.289102,0.282116,0.298018,0.335646,0.274999,0.367181,0.493394,0.566916,0.471431,0.599297,0.605941,0.492017,0.336273,0.316444,0.384456,0.34322,0.285523,0.381603,0.146067,0.153153,0.169643,0.900571,0.697453,0.620116,0.599741,0.56096,0.56203,0.542119,0.55216,0.532974,0.533455,0.40181,0.403409,0.393317,0.330899,0.098645,0.844797,0.628404,0.606339,0.607398,0.607626,0.583622,0.560362,0.551421,0.54036,0.53012,0.494992,0.508017,0.393406,0.276687,0.125979,0.884882,0.734094,0.630166,0.592859,0.527011,0.524348,0.507293,0.493704,0.469256,0.417906,0.412024,0.351629,0.346321,0.284635,2.371252,1_4_2_3_5
0.188068,0.269948,0.205077,0.236312,0.303488,0.264939,0.174815,0.272336,0.209788,0.240708,0.300113,0.258278,0.444261,0.579685,0.512095,0.518469,0.461103,0.514421,0.238635,0.490273,0.305807,0.258357,0.429344,0.323934,0.134831,0.018018,0.0625,0.905707,0.727408,0.642733,0.613642,0.574747,0.517026,0.496806,0.496473,0.483235,0.483398,0.340222,0.319308,0.298508,0.233483,0.063041,0.910103,0.652841,0.627599,0.624674,0.584333,0.572216,0.562454,0.533159,0.532515,0.524465,0.473801,0.475386,0.370959,0.295477,0.170865,0.931971,0.782675,0.677834,0.643829,0.593785,0.595944,0.569812,0.538554,0.500006,0.441133,0.413123,0.340485,0.317594,0.281407,2.466512,1_4_2_3_5
0.296179,0.307653,0.268888,0.168165,0.189736,0.183632,0.297645,0.311364,0.251278,0.169933,0.191064,0.184521,0.498031,0.556321,0.568189,0.53754,0.491008,0.453855,0.349099,0.377374,0.308134,0.293066,0.372924,0.345119,0.314607,0.234234,0.25,0.848405,0.696833,0.632866,0.617405,0.602722,0.558336,0.554332,0.5635,0.543124,0.546902,0.418547,0.410461,0.395279,0.306124,0.095689,0.866499,0.619942,0.574588,0.583294,0.565068,0.544313,0.529843,0.514186,0.512817,0.521482,0.481378,0.508623,0.414996,0.310017,0.135519,0.892578,0.790827,0.70408,0.688252,0.653558,0.636959,0.610157,0.587205,0.561423,0.511178,0.492055,0.422033,0.386572,0.313687,2.584552,1_4_2_3_5
0.340099,0.446674,0.338836,0.59068,0.095213,0.508293,0.340341,0.450044,0.341374,0.553428,0.096876,0.498754,0.471215,0.561228,0.52409,0.680328,0.494785,0.386441,0.273756,0.471637,0.288692,0.567401,0.01482,0.424812,0.179775,0.126126,0.044643,0.810752,0.670824,0.65033,0.647522,0.621561,0.568655,0.537975,0.536841,0.51934,0.521642,0.401462,0.387922,0.361761,0.28512,0.084554,0.875426,0.549295,0.509681,0.522246,0.473296,0.451455,0.447279,0.466911,0.517262,0.624577,0.586515,0.60874,0.523032,0.368175,0.188119,0.913323,0.73105,0.62387,0.614474,0.568854,0.570846,0.555909,0.522969,0.491396,0.435011,0.454639,0.418121,0.406572,0.331609,3.374811,1_4_2_3_5
0.305041,0.327328,0.319216,0.262468,0.290853,0.30697,0.298468,0.315295,0.252422,0.264418,0.291895,0.296616,0.53544,0.629604,0.625399,0.542361,0.507406,0.401955,0.312293,0.359915,0.364334,0.28018,0.347812,0.383273,0.202247,0.18018,0.321429,0.908481,0.694919,0.637741,0.632874,0.622977,0.581412,0.592122,0.593535,0.579911,0.580153,0.445837,0.442229,0.410704,0.332044,0.137756,0.888058,0.613477,0.623237,0.635301,0.611576,0.625469,0.624081,0.622987,0.618896,0.624122,0.569014,0.60151,0.473349,0.33026,0.142258,0.923712,0.81822,0.736668,0.717239,0.696458,0.692557,0.685148,0.653267,0.622048,0.552245,0.538735,0.469892,0.442031,0.35009,2.322223,1_4_2_3_5
0.230228,0.173858,0.282981,0.46246,0.268091,0.205537,0.231027,0.17774,0.287825,0.466671,0.254745,0.182147,0.503717,0.553629,0.500759,0.501403,0.55782,0.539095,0.326775,0.18825,0.526913,0.652858,0.224045,0.129139,0.033708,0.027027,0.133929,0.887803,0.751162,0.69733,0.683088,0.648358,0.598218,0.564797,0.557593,0.528458,0.513574,0.362288,0.361561,0.332205,0.274953,0.101944,0.910047,0.686558,0.648803,0.646099,0.603154,0.575738,0.546753,0.515647,0.492186,0.484356,0.436687,0.432228,0.330375,0.2454,0.129973,0.924636,0.758166,0.655285,0.619256,0.550672,0.542658,0.515053,0.487964,0.445044,0.41089,0.405948,0.383055,0.385984,0.312425,2.792545,1_4_2_3_5
